Dato,Skydekke (oktas)
2023-05-13,4.7
2023-05-14,2.3
2023-05-15,6.7
2023-05-16,7.3
2023-05-17,3.3
2023-05-18,1.3
2023-05-19,4.3
2023-05-20,4.0
2023-05-21,2.3
2023-05-22,5.7
2023-05-23,7.3
2023-05-24,4.0
2023-05-25,2.3
2023-05-26,1.3
2023-05-27,6.7
2023-05-28,2.3
2023-05-29,6.0
2023-05-30,1.3
2023-05-31,3.3
2023-06-01,3.0
2023-06-02,1.7
2023-06-03,6.3
2023-06-04,2.7
2023-06-05,0.7
2023-06-06,1.0
2023-06-07,0.7
2023-06-08,0.7
2023-06-09,1.0
2023-06-10,2.3
2023-06-11,1.3
2023-06-12,3.3
2023-06-13,6.0
2023-06-14,4.0
2023-06-15,3.7
2023-06-16,4.3
2023-06-17,3.3
2023-06-18,8.0
2023-06-19,6.3
2023-06-20,7.0
2023-06-21,7.3
2023-06-22,2.0
2023-06-23,2.0
2023-06-24,3.3
2023-06-25,3.3
2023-06-26,6.0
2023-06-27,5.7
2023-06-28,2.7
2023-06-29,7.0
2023-06-30,5.3
2023-07-01,5.3
2023-07-02,7.0
2023-07-03,7.7
2023-07-04,7.3
2023-07-05,7.0
2023-07-06,6.3
2023-07-07,6.0
2023-07-08,5.3
2023-07-09,3.7
2023-07-10,7.3
2023-07-11,8.0
2023-07-12,8.0
2023-07-13,6.7
2023-07-14,3.0
2023-07-15,8.0
2023-07-16,7.3
2023-07-17,7.3
2023-07-18,3.0
2023-07-19,6.0
2023-07-20,5.3
2023-07-21,6.7
2023-07-22,6.3
2023-07-23,5.0
2023-07-24,7.7
2023-07-25,6.3
2023-07-26,5.0
2023-07-27,4.3
2023-07-28,5.3
2023-07-29,4.3
2023-07-30,6.7
2023-07-31,6.3
2023-08-01,5.7
2023-08-02,6.7
2023-08-03,6.3
2023-08-04,7.3
2023-08-05,7.0
2023-08-06,7.7
2023-08-07,8.0
2023-08-08,7.7
2023-08-09,7.3
2023-08-10,7.0
2023-08-11,5.0
2023-08-12,6.3
2023-08-13,7.3
2023-08-14,6.7
2023-08-15,7.7
2023-08-16,5.0
2023-08-17,4.3
2023-08-18,6.0
2023-08-19,8.0
2023-08-20,8.0
2023-08-21,5.3
2023-08-22,4.7
2023-08-23,5.0
2023-08-24,5.0
2023-08-25,8.0
2023-08-26,8.0
2023-08-27,6.7
2023-08-28,5.0
2023-08-29,6.7
2023-08-30,6.3
2023-08-31,5.7
2023-09-01,4.0
2023-09-02,5.0
2023-09-03,7.3
2023-09-04,3.3
2023-09-05,3.3
2023-09-06,3.3
2023-09-07,7.7
2023-09-08,8.0
2023-09-09,7.7
2023-09-10,7.3
2023-09-11,8.0
2023-09-12,4.3
2023-09-13,1.3
2023-09-14,7.0
2023-09-15,7.7
2023-09-16,8.0
2023-09-17,3.3
2023-09-18,8.0
2023-09-19,6.3
2023-09-20,8.0
2023-09-21,8.0
2023-09-22,5.7
2023-09-23,4.3
2023-09-24,3.7
2023-09-25,8.0
2023-09-26,6.7
2023-09-27,6.0
2023-09-28,8.0
2023-09-29,7.0
2023-09-30,3.0
2023-10-01,4.7
2023-10-02,7.0
2023-10-03,4.7
2023-10-04,4.0
2023-10-05,3.3
2023-10-06,5.7
2023-10-07,2.0
2023-10-08,4.0
2023-10-09,6.3
2023-10-10,6.3
2023-10-11,4.3
2023-10-12,4.3
2023-10-13,7.7
2023-10-14,5.3
2023-10-15,5.0
2023-10-16,4.3
2023-10-17,5.3
2023-10-18,6.3
2023-10-19,2.0
2023-10-20,5.0
2023-10-21,7.7
2023-10-22,8.0
2023-10-23,7.3
2023-10-24,7.7
2023-10-25,7.7
2023-10-26,8.0
2023-10-27,8.0
2023-10-28,8.0
2023-10-29,7.3
2023-10-30,8.0
2023-10-31,7.7
2023-11-01,7.3
2023-11-02,8.0
2023-11-03,8.0
2023-11-04,7.7
2023-11-05,7.7
2023-11-06,8.0
2023-11-07,7.0
2023-11-08,7.7
2023-11-09,8.0
2023-11-10,8.0
2023-11-11,8.0
2023-11-12,7.3
2023-11-13,4.0
2023-11-14,8.0
2023-11-15,7.0
2023-11-16,7.7
2023-11-17,7.3
2023-11-18,4.0
2023-11-19,7.7
2023-11-20,8.0
2023-11-21,5.7
2023-11-22,7.7
2023-11-23,2.3
2023-11-24,5.3
2023-11-25,4.7
2023-11-26,5.0
2023-11-27,5.3
2023-11-28,6.3
2023-11-29,7.7
2023-11-30,6.3
2023-12-01,1.0
2023-12-02,1.3
2023-12-03,1.3
2023-12-04,0.7
2023-12-05,4.3
2023-12-06,8.0
2023-12-07,8.0
2023-12-08,7.3
2023-12-09,8.0
2023-12-10,8.0
2023-12-11,7.7
2023-12-12,7.7
2023-12-13,8.0
2023-12-14,8.0
2023-12-15,7.7
2023-12-16,6.3
2023-12-17,6.0
2023-12-18,8.0
2023-12-19,2.7
2023-12-20,5.7
2023-12-21,8.0
2023-12-22,6.7
2023-12-23,1.7
2023-12-24,7.7
2023-12-25,5.7
2023-12-26,4.3
2023-12-27,4.0
2023-12-28,7.3
2023-12-29,5.7
2023-12-30,7.3
2023-12-31,8.0
2024-01-01,8.0
2024-01-02,7.7
2024-01-03,7.7
2024-01-04,3.3
2024-01-05,1.7
2024-01-06,2.0
2024-01-07,3.3
2024-01-08,1.7
2024-01-09,4.7
2024-01-10,4.7
2024-01-11,4.0
2024-01-12,7.7
2024-01-13,7.0
2024-01-14,8.0
2024-01-15,1.3
2024-01-16,8.0
2024-01-17,7.3
2024-01-18,2.7
2024-01-19,3.3
2024-01-20,4.0
2024-01-21,8.0
2024-01-22,6.0
2024-01-23,4.0
2024-01-24,7.7
2024-01-25,2.3
2024-01-26,8.0
2024-01-27,4.3
2024-01-28,7.7
2024-01-29,7.0
2024-01-30,8.0
2024-01-31,7.3
2024-02-01,2.3
2024-02-02,8.0
2024-02-03,3.0
2024-02-04,5.7
2024-02-05,1.7
2024-02-06,7.0
2024-02-07,3.7
2024-02-08,4.3
2024-02-09,4.0
2024-02-10,7.7
2024-02-11,7.7
2024-02-12,8.0
2024-02-13,7.7
2024-02-14,8.0
2024-02-15,7.7
2024-02-16,8.0
2024-02-17,2.0
2024-02-18,8.0
2024-02-19,7.7
2024-02-20,8.0
2024-02-21,7.7
2024-02-22,8.0
2024-02-23,7.7
2024-02-24,7.0
2024-02-25,8.0
2024-02-26,3.0
2024-02-27,8.0
2024-02-28,7.3
2024-02-29,8.0
2024-03-01,8.0
2024-03-02,8.0
2024-03-03,8.0
2024-03-04,7.7
2024-03-05,3.3
2024-03-06,3.7
2024-03-07,0.3
2024-03-08,0.0
2024-03-09,8.0
2024-03-10,8.0
2024-03-11,7.3
2024-03-12,4.0
2024-03-13,8.0
2024-03-14,5.0
2024-03-15,8.0
2024-03-16,7.7
2024-03-17,2.7
2024-03-18,7.0
2024-03-19,8.0
2024-03-20,7.7
2024-03-21,7.7
2024-03-22,5.7
2024-03-23,7.0
2024-03-24,7.3
2024-03-25,8.0
2024-03-26,8.0
2024-03-27,8.0
2024-03-28,7.7
2024-03-29,7.0
2024-03-30,7.7
2024-03-31,7.7
2024-04-01,3.0
2024-04-02,7.0
2024-04-03,7.0
2024-04-04,8.0
2024-04-05,7.7
2024-04-06,8.0
2024-04-07,6.7
2024-04-08,7.3
2024-04-09,7.7
2024-04-10,5.7
2024-04-11,5.0
2024-04-12,5.3
2024-04-13,6.3
2024-04-14,4.0
2024-04-15,2.3
2024-04-16,2.0
2024-04-17,4.0
2024-04-18,5.0
2024-04-19,6.0
2024-04-20,4.7
2024-04-21,2.0
2024-04-22,2.0
2024-04-23,7.0
2024-04-24,7.3
2024-04-25,7.0
2024-04-26,7.3
2024-04-27,4.3
2024-04-28,8.0
2024-04-29,6.0
2024-04-30,6.7
2024-05-01,6.3
2024-05-02,3.3
2024-05-03,4.0
2024-05-04,2.7
2024-05-05,7.7
2024-05-06,7.7
2024-05-07,6.7
2024-05-08,6.7
2024-05-09,7.0
2024-05-10,7.0
2024-05-11,5.7
2024-05-12,4.0
2024-05-13,4.0
2024-05-14,3.0
2024-05-15,5.0
2024-05-16,1.0
2024-05-17,0.7
2024-05-18,1.3
2024-05-19,5.3
2024-05-20,3.0
2024-05-21,0.0
2024-05-22,1.7
2024-05-23,3.7
2024-05-24,6.3
2024-05-25,5.0
2024-05-26,4.0
2024-05-27,7.7
2024-05-28,6.7
2024-05-29,5.3
2024-05-30,7.7
2024-05-31,5.0
2024-06-01,4.3
2024-06-02,3.7
2024-06-03,5.7
2024-06-04,6.0
2024-06-05,6.7
2024-06-06,3.7
2024-06-07,6.0
2024-06-08,8.0
2024-06-09,5.7
2024-06-10,5.7
2024-06-11,4.3
2024-06-12,7.3
2024-06-13,7.0
2024-06-14,6.3
2024-06-15,7.7
2024-06-16,7.0
2024-06-17,5.3
2024-06-18,6.0
2024-06-19,4.0
2024-06-20,2.7
2024-06-21,1.3
2024-06-22,8.0
2024-06-23,3.0
2024-06-24,1.0
2024-06-25,4.3
2024-06-26,3.3
2024-06-27,2.3
2024-06-28,4.7
2024-06-29,3.7
2024-06-30,5.7
2024-07-01,4.7
2024-07-02,7.7
2024-07-03,7.0
2024-07-04,7.7
2024-07-05,6.7
2024-07-06,6.7
2024-07-07,7.7
2024-07-08,4.3
2024-07-09,2.3
2024-07-10,8.0
2024-07-11,6.7
2024-07-12,2.7
2024-07-13,6.0
2024-07-14,7.7
2024-07-15,6.3
2024-07-16,7.0
2024-07-17,8.0
2024-07-18,4.7
2024-07-19,4.0
2024-07-20,5.0
2024-07-21,5.0
2024-07-22,7.7
2024-07-23,4.7
2024-07-24,7.3
2024-07-25,2.0
2024-07-26,7.7
2024-07-27,5.0
2024-07-28,4.3
2024-07-29,4.3
2024-07-30,5.3
2024-07-31,2.3
2024-08-01,4.3
2024-08-02,2.0
2024-08-03,7.0
2024-08-04,7.0
2024-08-05,2.3
2024-08-06,4.7
2024-08-07,7.0
2024-08-08,6.3
2024-08-09,6.0
2024-08-10,6.3
2024-08-11,2.3
2024-08-12,2.3
2024-08-13,7.0
2024-08-14,7.3
2024-08-15,7.7
2024-08-16,1.3
2024-08-17,4.0
2024-08-18,6.3
2024-08-19,4.7
2024-08-20,8.0
2024-08-21,6.3
2024-08-22,7.7
2024-08-23,7.7
2024-08-24,6.7
2024-08-25,4.0
2024-08-26,6.0
2024-08-27,5.3
2024-08-28,7.3
2024-08-29,7.7
2024-08-30,3.0
2024-08-31,1.7
2024-09-01,3.0
2024-09-02,7.3
2024-09-03,8.0
2024-09-04,7.7
2024-09-05,1.0
2024-09-06,0.7
2024-09-07,5.3
2024-09-08,7.7
2024-09-09,7.7
2024-09-10,5.0
2024-09-11,5.3
2024-09-12,3.3
2024-09-13,2.0
2024-09-14,1.7
2024-09-15,5.0
2024-09-16,7.3
2024-09-17,4.7
2024-09-18,3.3
2024-09-19,0.0
2024-09-20,7.7
2024-09-21,8.0
2024-09-22,6.7
2024-09-23,7.3
2024-09-24,8.0
2024-09-25,5.0
2024-09-26,4.0
2024-09-27,6.0
2024-09-28,2.3
2024-09-29,4.3
2024-09-30,8.0
2024-10-01,5.7
2024-10-02,1.0
2024-10-03,2.0
2024-10-04,4.7
2024-10-05,7.0
2024-10-06,6.7
2024-10-07,7.7
2024-10-08,7.7
2024-10-09,8.0
2024-10-10,8.0
2024-10-11,4.0
2024-10-12,6.3
2024-10-13,6.0
2024-10-14,6.0
2024-10-15,1.7
2024-10-16,7.7
2024-10-17,8.0
2024-10-18,8.0
2024-10-19,8.0
2024-10-20,8.0
2024-10-21,4.3
2024-10-22,5.0
2024-10-23,5.3
2024-10-24,4.7
2024-10-25,7.0
2024-10-26,8.0
2024-10-27,4.0
2024-10-28,3.3
2024-10-29,7.0
2024-10-30,4.0
2024-10-31,5.3
2024-11-01,2.0
2024-11-02,4.7
2024-11-03,5.0
2024-11-04,4.0
2024-11-05,8.0
2024-11-06,8.0
2024-11-07,1.3
2024-11-08,8.0
2024-11-09,7.7
2024-11-10,7.3
2024-11-11,7.3
2024-11-12,7.3
2024-11-13,8.0
2024-11-14,6.7
2024-11-15,6.3
2024-11-16,2.0
2024-11-17,6.0
2024-11-18,3.0
2024-11-19,7.3
2024-11-20,4.7
2024-11-21,5.7
2024-11-22,3.7
2024-11-23,3.0
2024-11-24,8.0
2024-11-25,8.0
2024-11-26,5.7
2024-11-27,6.7
2024-11-28,1.0
2024-11-29,8.0
2024-11-30,7.0
2024-12-01,8.0
2024-12-02,8.0
2024-12-03,0.7
2024-12-04,5.0
2024-12-05,8.0
2024-12-06,8.0
2024-12-07,8.0
2024-12-08,5.3
2024-12-09,2.0
2024-12-10,7.0
2024-12-11,4.7
2024-12-12,6.0
2024-12-13,7.7
2024-12-14,3.0
2024-12-15,7.7
2024-12-16,2.3
2024-12-17,3.7
2024-12-18,8.0
2024-12-19,6.7
2024-12-20,4.3
2024-12-21,8.0
2024-12-22,6.0
2024-12-23,4.3
2024-12-24,8.0
2024-12-25,8.0
2024-12-26,8.0
2024-12-27,8.0
2024-12-28,8.0
2024-12-29,5.7
2024-12-30,5.3
