Dato,Lufttrykk (hPa)
2023-10-11,987.1
2023-10-12,997.1
2023-10-13,993.1
2023-10-14,981.1
2023-10-15,1001.2
2023-10-16,1012.8
2023-10-17,1010.3
2023-10-18,1017.2
2023-10-19,1018.9
2023-10-20,1018.0
2023-10-21,1013.0
2023-10-22,1009.6
2023-10-23,1012.1
2023-10-24,1016.8
2023-10-25,1014.3
2023-10-26,1008.3
2023-10-27,1005.4
2023-10-28,1007.8
2023-10-29,1004.6
2023-10-30,999.2
2023-10-31,1001.6
2023-11-01,1004.2
2023-11-02,996.1
2023-11-03,987.6
2023-11-04,984.0
2023-11-05,983.8
2023-11-06,990.3
2023-11-07,998.4
2023-11-08,1002.5
2023-11-09,996.8
2023-11-10,996.7
2023-11-11,1003.3
2023-11-12,1009.6
2023-11-13,1008.0
2023-11-14,1005.2
2023-11-15,1014.4
2023-11-16,1019.6
2023-11-17,1023.4
2023-11-18,1024.2
2023-11-19,1012.9
2023-11-20,1014.6
2023-11-21,1025.5
2023-11-22,1008.1
2023-11-23,986.8
2023-11-24,993.8
2023-11-25,1007.7
2023-11-26,1011.1
2023-11-27,1015.4
2023-11-28,1009.3
2023-11-29,1006.1
2023-11-30,1011.1
2023-12-01,1012.1
2023-12-02,1014.7
2023-12-03,1020.2
2023-12-04,1019.2
2023-12-05,1020.7
2023-12-06,1024.0
2023-12-07,1024.9
2023-12-08,1019.9
2023-12-09,1010.9
2023-12-10,1009.2
2023-12-11,1007.1
2023-12-12,1012.7
2023-12-13,1015.1
2023-12-14,1017.5
2023-12-15,1019.0
2023-12-16,1013.0
2023-12-17,1010.5
2023-12-18,1007.0
2023-12-19,997.8
2023-12-20,989.7
2023-12-21,972.1
2023-12-22,981.7
2023-12-23,992.7
2023-12-24,987.3
2023-12-25,983.8
2023-12-26,995.5
2023-12-27,1014.2
2023-12-28,996.5
2023-12-29,988.6
2023-12-30,1001.7
2023-12-31,1012.1
2024-01-01,1012.4
2024-01-02,1014.1
2024-01-03,1009.7
2024-01-04,1013.2
2024-01-05,1017.1
2024-01-06,1024.5
2024-01-07,1035.4
2024-01-08,1040.2
2024-01-09,1036.8
2024-01-10,1032.9
2024-01-11,1030.1
2024-01-12,1022.0
2024-01-13,1000.4
2024-01-14,989.8
2024-01-15,994.8
2024-01-16,997.6
2024-01-17,980.1
2024-01-18,988.0
2024-01-19,997.9
2024-01-20,1014.1
2024-01-21,1004.4
2024-01-22,976.8
2024-01-23,993.6
2024-01-24,988.4
2024-01-25,1015.0
2024-01-26,1007.5
2024-01-27,1017.8
2024-01-28,1019.1
2024-01-29,1018.9
2024-01-30,1021.6
2024-01-31,1006.9
2024-02-01,1002.2
2024-02-02,1000.5
2024-02-03,994.2
2024-02-04,992.3
2024-02-05,997.0
2024-02-06,995.4
2024-02-07,996.9
2024-02-08,1001.2
2024-02-09,1007.5
2024-02-10,1009.0
2024-02-11,1008.2
2024-02-12,1006.3
2024-02-13,1008.7
2024-02-14,1012.8
2024-02-15,1015.4
2024-02-16,1004.6
2024-02-17,1023.1
2024-02-18,1023.5
2024-02-19,1014.7
2024-02-20,1011.8
2024-02-21,1002.4
2024-02-22,986.8
2024-02-23,975.1
2024-02-24,996.3
2024-02-25,1001.8
2024-02-26,1012.2
2024-02-27,1014.9
2024-02-28,1010.1
2024-02-29,1005.1
2024-03-01,1006.7
2024-03-02,1011.4
2024-03-03,1016.4
2024-03-04,1023.8
2024-03-05,1030.8
2024-03-06,1033.6
2024-03-07,1032.0
2024-03-08,1026.2
2024-03-09,1021.9
2024-03-10,1023.0
2024-03-11,1021.4
2024-03-12,1017.4
2024-03-13,1009.0
2024-03-14,998.6
2024-03-15,996.9
2024-03-16,1005.4
2024-03-17,1026.4
2024-03-18,1024.5
2024-03-19,1019.9
2024-03-20,1016.4
2024-03-21,1014.8
2024-03-22,997.6
2024-03-23,992.3
2024-03-24,995.9
2024-03-25,1002.4
2024-03-26,1001.2
2024-03-27,995.4
2024-03-28,988.7
2024-03-29,990.3
2024-03-30,1002.3
2024-03-31,1000.2
2024-04-01,1002.3
2024-04-02,1006.4
2024-04-03,1011.2
2024-04-04,1010.3
2024-04-05,1005.1
2024-04-06,1008.6
2024-04-07,1001.1
2024-04-08,1006.4
2024-04-09,1007.4
2024-04-10,1006.9
2024-04-11,1011.8
2024-04-12,1015.1
2024-04-13,1006.8
2024-04-14,999.0
2024-04-15,1003.4
2024-04-16,1003.2
2024-04-17,1009.6
2024-04-18,1013.1
2024-04-19,1010.1
2024-04-20,1016.8
2024-04-21,1029.3
2024-04-22,1025.4
2024-04-23,1013.4
2024-04-24,1008.7
2024-04-25,1006.4
2024-04-26,1009.5
2024-04-27,1013.5
2024-04-28,1016.4
2024-04-29,1017.0
2024-04-30,1026.6
2024-05-01,1024.7
2024-05-02,1020.6
2024-05-03,1017.8
2024-05-04,1013.4
2024-05-05,1007.9
2024-05-06,1012.8
2024-05-07,1021.0
2024-05-08,1022.9
2024-05-09,1017.7
2024-05-10,1022.1
2024-05-11,1024.0
2024-05-12,1023.2
2024-05-13,1020.3
2024-05-14,1018.1
2024-05-15,1018.2
2024-05-16,1020.1
2024-05-17,1019.9
2024-05-18,1015.9
2024-05-19,1011.8
2024-05-20,1018.6
2024-05-21,1021.2
2024-05-22,1019.4
2024-05-23,1017.0
2024-05-24,1019.4
2024-05-25,1021.0
2024-05-26,1020.2
2024-05-27,1015.5
2024-05-28,1012.7
2024-05-29,1010.3
2024-05-30,1010.0
2024-05-31,1014.3
2024-06-01,1016.0
2024-06-02,1012.9
2024-06-03,1005.3
2024-06-04,1005.1
2024-06-05,997.8
2024-06-06,1006.8
2024-06-07,1009.3
2024-06-08,1001.1
2024-06-09,989.9
2024-06-10,994.0
2024-06-11,1003.0
2024-06-12,1006.8
2024-06-13,1008.2
2024-06-14,1010.5
2024-06-15,1006.8
2024-06-16,1006.6
2024-06-17,1009.0
2024-06-18,1007.4
2024-06-19,1008.8
2024-06-20,1011.9
2024-06-21,1013.1
2024-06-22,1010.1
2024-06-23,1011.8
2024-06-24,1017.2
2024-06-25,1018.1
2024-06-26,1015.4
2024-06-27,1010.5
2024-06-28,1003.9
2024-06-29,1008.1
2024-06-30,1006.7
2024-07-01,1002.1
2024-07-02,1000.9
2024-07-03,998.0
2024-07-04,994.5
2024-07-05,993.5
2024-07-06,996.0
2024-07-07,995.2
2024-07-08,1012.1
2024-07-09,1019.6
2024-07-10,1015.6
2024-07-11,1012.2
2024-07-12,1014.3
2024-07-13,1012.1
2024-07-14,1006.7
2024-07-15,1008.8
2024-07-16,1011.8
2024-07-17,1009.5
2024-07-18,1014.4
2024-07-19,1017.5
2024-07-20,1013.9
2024-07-21,1010.0
2024-07-22,1009.5
2024-07-23,1011.0
2024-07-24,1012.8
2024-07-25,1009.4
2024-07-26,1006.5
2024-07-27,1007.9
2024-07-28,1014.9
2024-07-29,1019.6
2024-07-30,1013.7
2024-07-31,1010.4
2024-08-01,1012.1
2024-08-02,1010.6
2024-08-03,1007.2
2024-08-04,1006.7
2024-08-05,1011.3
2024-08-06,1012.9
2024-08-07,1009.4
2024-08-08,1007.6
2024-08-09,1000.5
2024-08-10,1002.4
2024-08-11,1010.3
2024-08-12,1015.3
2024-08-13,1015.8
2024-08-14,1013.8
2024-08-15,1007.6
2024-08-16,1006.3
2024-08-17,1006.6
2024-08-18,1005.9
2024-08-19,1011.4
2024-08-20,1009.1
2024-08-21,1001.9
2024-08-22,999.2
2024-08-23,991.9
2024-08-24,1003.2
2024-08-25,1003.1
2024-08-26,1010.2
2024-08-27,1018.6
2024-08-28,1020.4
2024-08-29,1014.2
2024-08-30,1015.1
2024-08-31,1025.0
2024-09-01,1024.7
2024-09-02,1019.7
2024-09-03,1017.9
2024-09-04,1021.4
2024-09-05,1027.4
2024-09-06,1025.3
2024-09-07,1020.3
2024-09-08,1012.2
2024-09-09,998.1
2024-09-10,990.5
2024-09-11,992.3
2024-09-12,1003.3
2024-09-13,1017.5
2024-09-14,1024.6
2024-09-15,1023.1
2024-09-16,1024.8
2024-09-17,1031.3
2024-09-18,1034.6
2024-09-19,1032.8
2024-09-20,1030.7
2024-09-21,1026.9
2024-09-22,1019.7
2024-09-23,1008.8
2024-09-24,998.6
2024-09-25,988.4
2024-09-26,993.9
2024-09-27,990.7
2024-09-28,1002.5
2024-09-29,1019.6
2024-09-30,1024.9
2024-10-01,1024.2
2024-10-02,1021.0
2024-10-03,1022.0
2024-10-04,1020.4
2024-10-05,1016.0
2024-10-06,1010.0
2024-10-07,1006.8
2024-10-08,1002.7
2024-10-09,990.3
2024-10-10,986.7
2024-10-11,999.6
2024-10-12,1009.7
2024-10-13,1006.0
2024-10-14,1012.8
2024-10-15,1022.4
2024-10-16,1024.3
2024-10-17,1017.8
2024-10-18,1016.0
2024-10-19,1016.2
2024-10-20,1011.3
2024-10-21,1004.5
2024-10-22,1012.5
2024-10-23,1020.4
2024-10-24,1022.7
2024-10-25,1018.6
2024-10-26,1017.1
2024-10-27,1007.4
2024-10-28,1013.3
2024-10-29,1015.3
2024-10-30,1013.7
2024-10-31,1004.0
2024-11-01,1004.2
2024-11-02,1025.7
2024-11-03,1017.5
2024-11-04,1027.5
2024-11-05,1025.3
2024-11-06,1027.2
2024-11-07,1033.4
2024-11-08,1033.4
2024-11-09,1032.5
2024-11-10,1028.4
2024-11-11,1026.5
2024-11-12,1033.4
2024-11-13,1021.8
2024-11-14,1017.7
2024-11-15,1008.8
2024-11-16,991.2
2024-11-17,987.2
2024-11-18,994.6
2024-11-19,994.8
2024-11-20,995.1
2024-11-21,990.6
2024-11-22,991.6
2024-11-23,1002.6
2024-11-24,996.8
2024-11-25,989.2
2024-11-26,996.5
2024-11-27,1014.1
2024-11-28,1023.1
2024-11-29,1023.8
2024-11-30,1017.3
2024-12-01,1011.6
2024-12-02,1002.0
2024-12-03,1020.2
2024-12-04,1029.4
2024-12-05,1016.4
2024-12-06,1008.5
2024-12-07,1010.4
2024-12-08,1027.1
2024-12-09,1041.0
2024-12-10,1034.5
2024-12-11,1032.2
2024-12-12,1032.7
2024-12-13,1021.9
2024-12-14,1001.1
2024-12-15,998.2
2024-12-16,996.6
2024-12-17,1009.2
2024-12-18,991.7
2024-12-19,980.4
2024-12-20,996.7
2024-12-21,989.1
2024-12-22,980.0
2024-12-23,1003.7
2024-12-24,1014.8
2024-12-25,1020.0
2024-12-26,1027.2
2024-12-27,1029.9
2024-12-28,1020.1
2024-12-29,1004.5
2024-12-30,1007.6
